[28-Feb-2025 11:03:18 America/Montevideo] PHP Warning:  Creating default object from empty value in C:\xampp\htdocs\orderNet\src\class\defaultclass\users.php on line 387
[28-Feb-2025 11:07:53 America/Montevideo] PHP Warning:  Creating default object from empty value in C:\xampp\htdocs\orderNet\src\class\defaultclass\users.php on line 387
[28-Feb-2025 11:08:17 America/Montevideo] PHP Warning:  Creating default object from empty value in C:\xampp\htdocs\orderNet\src\class\defaultclass\users.php on line 387
[28-Feb-2025 11:08:30 America/Montevideo] PHP Warning:  Creating default object from empty value in C:\xampp\htdocs\orderNet\src\class\defaultclass\users.php on line 387
[28-Feb-2025 11:15:03 America/Montevideo] PHP Warning:  Creating default object from empty value in C:\xampp\htdocs\orderNet\src\class\defaultclass\users.php on line 387
[28-Feb-2025 11:15:51 America/Montevideo] PHP Warning:  Creating default object from empty value in C:\xampp\htdocs\orderNet\src\class\defaultclass\users.php on line 387
[28-Feb-2025 11:16:01 America/Montevideo] PHP Warning:  Creating default object from empty value in C:\xampp\htdocs\orderNet\src\class\defaultclass\users.php on line 387
[28-Feb-2025 11:16:20 America/Montevideo] PHP Warning:  Creating default object from empty value in C:\xampp\htdocs\orderNet\src\class\defaultclass\users.php on line 387
[28-Feb-2025 11:16:36 America/Montevideo] PHP Warning:  Creating default object from empty value in C:\xampp\htdocs\orderNet\src\class\defaultclass\users.php on line 387
[28-Feb-2025 11:17:27 America/Montevideo] PHP Warning:  Creating default object from empty value in C:\xampp\htdocs\orderNet\src\class\defaultclass\users.php on line 387
[28-Feb-2025 11:17:34 America/Montevideo] PHP Warning:  Creating default object from empty value in C:\xampp\htdocs\orderNet\src\class\defaultclass\users.php on line 387
[28-Feb-2025 11:23:40 America/Montevideo] PHP Warning:  Creating default object from empty value in C:\xampp\htdocs\orderNet\src\class\defaultclass\users.php on line 387
[28-Feb-2025 11:23:45 America/Montevideo] PHP Warning:  Creating default object from empty value in C:\xampp\htdocs\orderNet\src\class\defaultclass\users.php on line 387
[28-Feb-2025 11:23:48 America/Montevideo] PHP Warning:  Creating default object from empty value in C:\xampp\htdocs\orderNet\src\class\defaultclass\users.php on line 387
[28-Feb-2025 11:23:51 America/Montevideo] PHP Warning:  Creating default object from empty value in C:\xampp\htdocs\orderNet\src\class\defaultclass\users.php on line 387
[28-Feb-2025 11:31:10 America/Montevideo] PHP Warning:  Creating default object from empty value in C:\xampp\htdocs\orderNet\src\class\defaultclass\users.php on line 387
