[18-Feb-2025 11:18:17 America/Montevideo] PHP Warning:  Creating default object from empty value in C:\xampp\htdocs\orderNet\src\class\defaultclass\users.php on line 65
[18-Feb-2025 11:19:53 America/Montevideo] PHP Warning:  Creating default object from empty value in C:\xampp\htdocs\orderNet\src\class\defaultclass\users.php on line 65
[18-Feb-2025 11:21:21 America/Montevideo] PHP Warning:  Creating default object from empty value in C:\xampp\htdocs\orderNet\src\class\defaultclass\users.php on line 65
[18-Feb-2025 11:29:45 America/Montevideo] PHP Warning:  Creating default object from empty value in C:\xampp\htdocs\orderNet\src\class\defaultclass\users.php on line 65
[18-Feb-2025 11:57:56 America/Montevideo] PHP Warning:  Creating default object from empty value in C:\xampp\htdocs\orderNet\src\class\defaultclass\users.php on line 93
[18-Feb-2025 11:58:59 America/Montevideo] PHP Warning:  Creating default object from empty value in C:\xampp\htdocs\orderNet\src\class\defaultclass\users.php on line 93
[18-Feb-2025 11:59:01 America/Montevideo] PHP Warning:  Creating default object from empty value in C:\xampp\htdocs\orderNet\src\class\defaultclass\users.php on line 70
[18-Feb-2025 11:59:01 America/Montevideo] PHP Notice:  Trying to get property 'result' of non-object in C:\xampp\htdocs\orderNet\src\controllers\ctr_users.php on line 74
[18-Feb-2025 11:59:03 America/Montevideo] PHP Warning:  Creating default object from empty value in C:\xampp\htdocs\orderNet\src\class\defaultclass\users.php on line 70
[18-Feb-2025 11:59:03 America/Montevideo] PHP Notice:  Trying to get property 'result' of non-object in C:\xampp\htdocs\orderNet\src\controllers\ctr_users.php on line 74
[18-Feb-2025 11:59:53 America/Montevideo] PHP Warning:  Creating default object from empty value in C:\xampp\htdocs\orderNet\src\class\defaultclass\users.php on line 93
[18-Feb-2025 11:59:54 America/Montevideo] PHP Warning:  Creating default object from empty value in C:\xampp\htdocs\orderNet\src\class\defaultclass\users.php on line 70
[18-Feb-2025 11:59:54 America/Montevideo] PHP Notice:  Trying to get property 'result' of non-object in C:\xampp\htdocs\orderNet\src\controllers\ctr_users.php on line 74
[18-Feb-2025 11:59:55 America/Montevideo] PHP Warning:  Creating default object from empty value in C:\xampp\htdocs\orderNet\src\class\defaultclass\users.php on line 70
[18-Feb-2025 11:59:55 America/Montevideo] PHP Notice:  Trying to get property 'result' of non-object in C:\xampp\htdocs\orderNet\src\controllers\ctr_users.php on line 74
[18-Feb-2025 12:00:24 America/Montevideo] PHP Warning:  Creating default object from empty value in C:\xampp\htdocs\orderNet\src\class\defaultclass\users.php on line 71
[18-Feb-2025 12:00:24 America/Montevideo] PHP Notice:  Trying to get property 'result' of non-object in C:\xampp\htdocs\orderNet\src\controllers\ctr_users.php on line 74
[18-Feb-2025 12:00:25 America/Montevideo] PHP Warning:  Creating default object from empty value in C:\xampp\htdocs\orderNet\src\class\defaultclass\users.php on line 94
[18-Feb-2025 12:00:26 America/Montevideo] PHP Warning:  Creating default object from empty value in C:\xampp\htdocs\orderNet\src\class\defaultclass\users.php on line 71
[18-Feb-2025 12:00:26 America/Montevideo] PHP Notice:  Trying to get property 'result' of non-object in C:\xampp\htdocs\orderNet\src\controllers\ctr_users.php on line 74
[18-Feb-2025 12:01:48 America/Montevideo] PHP Warning:  Creating default object from empty value in C:\xampp\htdocs\orderNet\src\class\defaultclass\users.php on line 95
[18-Feb-2025 12:01:50 America/Montevideo] PHP Warning:  Creating default object from empty value in C:\xampp\htdocs\orderNet\src\class\defaultclass\users.php on line 71
[18-Feb-2025 12:01:54 America/Montevideo] PHP Warning:  Creating default object from empty value in C:\xampp\htdocs\orderNet\src\class\defaultclass\users.php on line 94
[18-Feb-2025 12:01:54 America/Montevideo] PHP Warning:  Creating default object from empty value in C:\xampp\htdocs\orderNet\src\class\defaultclass\users.php on line 70
[18-Feb-2025 12:07:20 America/Montevideo] PHP Warning:  Creating default object from empty value in C:\xampp\htdocs\orderNet\src\class\defaultclass\users.php on line 94
[18-Feb-2025 12:07:21 America/Montevideo] PHP Warning:  Creating default object from empty value in C:\xampp\htdocs\orderNet\src\class\defaultclass\users.php on line 70
[18-Feb-2025 12:15:50 America/Montevideo] PHP Warning:  Creating default object from empty value in C:\xampp\htdocs\orderNet\src\class\defaultclass\users.php on line 94
